emotion,original_text,text_tokens,preprocessed_text
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,"['told', 'friend', 'going', 'party', 'would', 'enjoy', 'came', 'along', 'understood', 'would', 'fitted', 'something']",told friend going party would enjoy came along understood would fitted something
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,"['reason', 'behind', 'breakup', 'friend', 'relationship', 'girlfriend', 'finished']",reason behind breakup friend relationship girlfriend finished
happiness,I passed an exam that I was absolutely certain that I had failed.,"['passed', 'exam', 'absolutely', 'certain', 'failed']",passed exam absolutely certain failed
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.","['way', 'back', 'denmark', 'friend', 'small', 'yatch', 'storm', 'friend', 'blown', 'overboard', 'scared', 'till', 'managed', 'get', 'back', 'onboard']",way back denmark friend small yatch storm friend blown overboard scared till managed get back onboard
anger,I locked myself out.,['locked'],locked
sadness,I missed the last tram home and had to walk in the pouring rain.,"['missed', 'last', 'tram', 'home', 'walk', 'pouring', 'rain']",missed last tram home walk pouring rain
disgust,I found some worms in the food and I had obviously eaten some.,"['found', 'worm', 'food', 'obviously', 'eaten']",found worm food obviously eaten
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents.","['friend', 'intoxicated', 'police', 'came', 'took', 'away', 'later', 'contacted', 'parent']",friend intoxicated police came took away later contacted parent
guilt,I hapened to overhear something which I was not meant to hear.,"['hapened', 'overhear', 'something', 'meant', 'hear']",hapened overhear something meant hear
happiness,When I won a trip to Greece in a competition.,"['trip', 'greece', 'competition']",trip greece competition
fear,When I am out in the dark and a suspicious looking character comes towards me.,"['dark', 'suspicious', 'looking', 'character', 'come', 'towards']",dark suspicious looking character come towards
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me.","['work', 'elderly', 'man', 'complained', 'unjustifiably', 'distrusted']",work elderly man complained unjustifiably distrusted
sadness,When I had not understood anything after a lecture.,"['understood', 'anything', 'lecture']",understood anything lecture
disgust,When an alcoholic stood dribbling over a food counter.,"['alcoholic', 'stood', 'dribbling', 'food', 'counter']",alcoholic stood dribbling food counter
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening.,"['friend', 'discussing', 'good', 'look', 'guy', 'realized', 'listening']",friend discussing good look guy realized listening
guilt,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,"['complained', 'colleague', 'manager', 'told', 'someone', 'complained', 'colleague', 'came', 'believing', 'liked']",complained colleague manager told someone complained colleague came believing liked
happiness,At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,"['friend', 'birthday', 'party', 'closest', 'friend', 'pleasant', 'one', 'could', 'say', 'happy', 'good', 'friend']",friend birthday party closest friend pleasant one could say happy good friend
fear,On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,"['way', 'home', 'one', 'friday', 'night', 'heavy', 'rain', 'car', 'acquaplanned', 'lost', 'contact', 'road', 'surface', 'second']",way home one friday night heavy rain car acquaplanned lost contact road surface second
anger,Mad at my dad.,"['mad', 'dad']",mad dad
sadness,A case of unrequited love.,"['case', 'unrequited', 'love']",case unrequited love
disgust,A bad smelling cucumber.,"['bad', 'smelling', 'cucumber']",bad smelling cucumber
shame,Nearly caught masturbating.,"['nearly', 'caught', 'masturbating']",nearly caught masturbating
guilt,I do not help out enough at home.,"['help', 'enough', 'home']",help enough home
happiness,I felt very happy when I won the football pools.,"['felt', 'happy', 'football', 'pool']",felt happy football pool
fear,When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,"['flew', 'athens', 'copenhagen', 'holiday', 'plane', 'caught', 'storm', 'began', 'shake', 'thouhght', 'going', 'crash']",flew athens copenhagen holiday plane caught storm began shake thouhght going crash
anger,When someone stole my bike.,"['someone', 'stole', 'bike']",someone stole bike
sadness,"When I saw the list of books to read for an acccouting course, I thought \ Oh God how will I ever manaage it!\""""","['saw', 'list', 'book', 'read', 'acccouting', 'course', 'thought', 'god', 'ever', 'manaage']",saw list book read acccouting course thought god ever manaage
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.,"['read', 'newspaper', 'article', 'future', 'foresaw', 'would', 'eating', 'frogburgers', 'year', '2000', 'illustration', 'showed', 'frog', 'two', 'piece', 'bread']",read newspaper article future foresaw would eating frogburgers year 2000 illustration showed frog two piece bread
shame,When I dropped a bottle in the state liquor store and everyboby started laughing.,"['dropped', 'bottle', 'state', 'liquor', 'store', 'everyboby', 'started', 'laughing']",dropped bottle state liquor store everyboby started laughing
guilt,"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.","['young', 'pinched', 'store', 'caught', 'store', 'contacted', 'parent']",young pinched store caught store contacted parent
happiness,When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,"['whole', 'family', 'get', 'together', 'one', 'week', 'holiday', 'everybody', 'feel', 'free', 'trip', 'well', 'planned', 'work', 'well', 'enjoy']",whole family get together one week holiday everybody feel free trip well planned work well enjoy
fear,"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)","['could', 'find', 'year', 'old', 'daughter', 'ran', 'looked', 'everywhere', 'could', 'find', 'finally', 'found', 'gone', 'bed', 'sleep']",could find year old daughter ran looked everywhere could find finally found gone bed sleep
anger,When friends try to put me down or hurt me.  ,"['friend', 'try', 'put', 'hurt']",friend try put hurt
sadness,Marriage crises.  Boredom.,"['marriage', 'crisis', 'boredom']",marriage crisis boredom
disgust,When someone makes advances that one does not want.,"['someone', 'make', 'advance', 'one', 'want']",someone make advance one want
shame,The discovery that one has only thought of oneself.,"['discovery', 'one', 'thought', 'oneself']",discovery one thought oneself
guilt,When I spanked a child in anger and later regretted it terribly.,"['spanked', 'child', 'anger', 'later', 'regretted', 'terribly']",spanked child anger later regretted terribly
happiness,When I passed the first examination that I had to repeat.,"['passed', 'first', 'examination', 'repeat']",passed first examination repeat
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,"['drove', 'stockholm', 'first', 'time', 'drove', 'stora', 'hissingen', 'road', 'wrong', 'exit']",drove stockholm first time drove stora hissingen road wrong exit
anger,When my boyfriend went away for a month long holiday without me.,"['boyfriend', 'went', 'away', 'month', 'long', 'holiday', 'without']",boyfriend went away month long holiday without
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,"['last', 'year', 'worked', 'summer', 'holiday', 'studied', 'time', 'examination', 'repeat', 'boyfriend', 'went', 'greece', 'holiday', 'month']",last year worked summer holiday studied time examination repeat boyfriend went greece holiday month
disgust,When a dog is left whining outside a shop.,"['dog', 'left', 'whining', 'outside', 'shop']",dog left whining outside shop
shame,When I promised to help a friend over a weekend and did not keep the promise.,"['promised', 'help', 'friend', 'weekend', 'keep', 'promise']",promised help friend weekend keep promise
guilt,When I realized that I had three more examinations to take.,"['realized', 'three', 'examination', 'take']",realized three examination take
happiness,The day I was told that I had been accepted as a student of economics.,"['day', 'told', 'accepted', 'student', 'economics']",day told accepted student economics
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.","['taking', 'short', 'cut', 'vas', 'park', 'surrounded', 'three', 'people', 'tried', 'steal', 'money', 'scared', 'saved', 'appearance', 'people']",taking short cut vas park surrounded three people tried steal money scared saved appearance people
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .","['restaurant', 'observed', 'gypsy', 'tried', 'get', 'money', 'cheating', 'foreigner', 'non', 'swedish', 'speaking', 'anger', 'nothing', 'hatred', 'foreigner', 'expression', 'anger', 'feel', 'see', 'people', 'used']",restaurant observed gypsy tried get money cheating foreigner non swedish speaking anger nothing hatred foreigner expression anger feel see people used
sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,"['begining', 'new', 'course', 'one', 'afraid', 'encountering', 'problem', 'one', 'manage', 'thought', 'revolve', 'around', 'failing', 'subject', 'consequence', 'would', 'future']",begining new course one afraid encountering problem one manage thought revolve around failing subject consequence would future
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,"['walking', 'town', 'noticed', 'police', 'harrassed', 'man', 'influence', 'alcohol', 'terrified', 'thought', 'arrest', 'driving', 'close', 'behind', 'pedestrian', 'street', 'disgust', 'directed', 'gesture', 'facial', 'expression', 'policeman', 'seemed', 'enjoying']",walking town noticed police harrassed man influence alcohol terrified thought arrest driving close behind pedestrian street disgust directed gesture facial expression policeman seemed enjoying
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.","['boyfriend', 'revealed', 'knew', 'discovered', 'thing', 'important', 'nature', 'felt', 'ashamed', 'mentioned', 'earlier']",boyfriend revealed knew discovered thing important nature felt ashamed mentioned earlier
guilt,"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong.","['dishonest', 'friend', 'close', 'feel', 'guilty', 'know', 'give', 'different', 'version', 'truth', 'corrected', 'mistake', 'aware', 'know', 'wrong']",dishonest friend close feel guilty know give different version truth corrected mistake aware know wrong
happiness,When I found out that I had passed the last two exams by a margin of three marks.,"['found', 'passed', 'last', 'two', 'exam', 'margin', 'three', 'mark']",found passed last two exam margin three mark
fear,When my father was ill and was waiting for the results of his tests.,"['father', 'ill', 'waiting', 'result', 'test']",father ill waiting result test
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,"['got', 'caught', 'pouring', 'rain', 'last', 'thursday', 'raincoat']",got caught pouring rain last thursday raincoat
sadness,When I failed an exam.,"['failed', 'exam']",failed exam
disgust,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked herrings with fruit salad.","['sm÷rgasbord', 'table', 'man', 'mixed', 'differnet', 'kind', 'picked', 'herring', 'fruit', 'salad']",sm÷rgasbord table man mixed differnet kind picked herring fruit salad
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor.","['prepared', 'contribution', 'group', 'thoroughly', 'member', 'result', 'overall', 'result', 'poor']",prepared contribution group thoroughly member result overall result poor
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later.","['father', 'worked', 'house', 'recovered', 'illness', 'rather', 'lazy', 'meant', 'work', 'hard', 'well', 'later']",father worked house recovered illness rather lazy meant work hard well later
happiness,When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.,"['gave', 'birth', 'son', 'saw', 'alive', 'managed', 'well', 'born', 'month', 'early', 'malfunctioning', 'lung', 'happened', 'year', 'ago']",gave birth son saw alive managed well born month early malfunctioning lung happened year ago
fear,When I found out that my father had lung cancer and they did not know how long he would live.,"['found', 'father', 'lung', 'cancer', 'know', 'long', 'would', 'live']",found father lung cancer know long would live
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.","['colleague', 'asked', 'help', 'work', 'despite', 'fact', 'time']",colleague asked help work despite fact time
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated.,"['get', 'salary', 'increase', 'expecting', 'understood', 'little', 'one', 'work', 'appreciated']",get salary increase expecting understood little one work appreciated
disgust,When I was weeding the garden I found a lizard in my hand.,"['weeding', 'garden', 'found', 'lizard', 'hand']",weeding garden found lizard hand
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier.","['met', 'friend', 'seen', 'long', 'time', 'heard', 'trouble', 'thought', 'got', 'touch', 'earlier']",met friend seen long time heard trouble thought got touch earlier
guilt,I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.,"['got', 'angry', 'mother', 'something', 'trivial', 'bad', 'mood', 'father', 'ill', 'knew', 'mother', 'really', 'needed', 'support', 'reacted', 'wrongly']",got angry mother something trivial bad mood father ill knew mother really needed support reacted wrongly
happiness,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time.","['new', 'year', 'eve', '19831984', 'met', 'girlfriend', 'stood', 'step', 'outside', 'parent', 'home', 'kissed', 'first', 'time']",new year eve 19831984 met girlfriend stood step outside parent home kissed first time
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.","['stopped', 'plain', 'clothes', 'policeman', 'car', 'driving', 'overturned', 'avenue', 'driving', 'fast', 'afraid', 'stopped', 'questionned', 'toild', 'situation', 'ended', 'happily', 'since', 'consequence']",stopped plain clothes policeman car driving overturned avenue driving fast afraid stopped questionned toild situation ended happily since consequence
anger,The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.,"['editor', 'changed', 'heading', 'article', 'written', 'considered', 'heading', 'derogatory', 'towards', 'person', 'written']",editor changed heading article written considered heading derogatory towards person written
sadness,"A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed.","['close', 'acquaintance', 'family', 'died', 'lung', 'cancer', 'although', 'expected', 'still', 'felt', 'depressed']",close acquaintance family died lung cancer although expected still felt depressed
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident.","['saw', 'picture', 'gothenburg', 'post', 'totally', 'demolished', 'car', 'two', 'fatally', 'injured', 'passenger', 'car', 'badly', 'damaged', 'couldnt', 'get', 'body', 'scene', 'accident']",saw picture gothenburg post totally demolished car two fatally injured passenger car badly damaged couldnt get body scene accident
shame,One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.,"['one', 'night', 'sexual', 'intercourse', 'another', 'man', 'sexual', 'desire', 'curiosity', 'made', 'jump', 'bed', 'ashamed']",one night sexual intercourse another man sexual desire curiosity made jump bed ashamed
guilt,"Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations.","['due', 'laziness', 'failed', 'term', 'study', 'completely', 'university', 'also', 'wanted', 'extent', 'protest', 'parent', 'expectation']",due laziness failed term study completely university also wanted extent protest parent expectation
happiness,When I got the loan for my studies.,"['got', 'loan', 'study']",got loan study
